k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
35,distance,transformer,bert_24layer_para.vec,vec,2,0.4955390055645402,0.887968093264577,0.0,0.8868635572321797,0.0
35,distance,transformer,bert_24layer_para.vec,vec,3,0.4628101674858849,0.9046432011040451,0.0,0.902679121119257,0.0
35,distance,transformer,bert_24layer_para.vec,vec,4,0.48372946841609515,0.8938987237475972,0.0,0.8937223035771069,0.0
35,distance,transformer,bert_24layer_para.vec,vec,5,0.49046323465646136,0.8914026021669579,0.0,0.8919988626746463,0.0
35,distance,transformer,bert_24layer_para.vec,vec,all,0.48777355776497106,0.8911343120901936,8.00636363e-316,0.8907624477411877,4.1212283e-317
35,distance,transformer,bert_24layer_sent.vec,vec,1,0.47714319460523963,0.8931362328289433,0.0,0.8928964369137092,0.0
35,distance,transformer,bert_24layer_sent.vec,vec,2,0.47762891581195704,0.89668387009136,0.0,0.8951588713443708,0.0
35,distance,transformer,bert_24layer_sent.vec,vec,3,0.44298338722839725,0.9129859285054378,0.0,0.9105282404454695,0.0
35,distance,transformer,bert_24layer_sent.vec,vec,4,0.46825761963034696,0.9010582141493366,0.0,0.9013684353893732,0.0
35,distance,transformer,bert_24layer_sent.vec,vec,5,0.46992496768853326,0.9006787627031371,0.0,0.9007974250951895,0.0
35,distance,transformer,bert_24layer_sent.vec,vec,all,0.46718761699289485,0.9009086016556429,0.0,0.9001498818376223,0.0
35,distance,transformer,roberta_24layer_para.vec,vec,1,0.49284995778181667,0.8848858467535817,0.0,0.8854693750625102,0.0
35,distance,transformer,roberta_24layer_para.vec,vec,2,0.4870009057089245,0.8924648849872332,0.0,0.8917694299141173,0.0
35,distance,transformer,roberta_24layer_para.vec,vec,3,0.4528250163436148,0.9098180144690629,0.0,0.9074687921534903,0.0
35,distance,transformer,roberta_24layer_para.vec,vec,4,0.4775114756761965,0.8974481463926984,0.0,0.8975761512791841,0.0
35,distance,transformer,roberta_24layer_para.vec,vec,5,0.47802850814187825,0.8977620060326981,0.0,0.8979340119894912,0.0
35,distance,transformer,roberta_24layer_para.vec,vec,all,0.4776431727304861,0.8964757797270548,0.0,0.8960435520797587,0.0
35,distance,transformer,roberta_24layer_sent.vec,vec,1,0.49075312362457907,0.886338437434979,0.0,0.8864089435874619,0.0
35,distance,transformer,roberta_24layer_sent.vec,vec,2,0.4838634748355593,0.8943254368968323,0.0,0.8939275507006543,0.0
35,distance,transformer,roberta_24layer_sent.vec,vec,3,0.44888327854809057,0.9119683887244555,0.0,0.9102434545197073,0.0
35,distance,transformer,roberta_24layer_sent.vec,vec,4,0.47732666612941527,0.8978100672388314,0.0,0.8984906227508603,0.0
35,distance,transformer,roberta_24layer_sent.vec,vec,5,0.47449555143030825,0.8997478677726769,0.0,0.8999691817020802,0.0
35,distance,transformer,roberta_24layer_sent.vec,vec,all,0.4750644189135905,0.8980380396135551,0.0,0.897807950652153,0.0
35,distance,transformer,GPT2_24_layer_para.vec,vec,1,0.4687843200402945,0.8977687385179001,0.0,0.8979849497338226,0.0
35,distance,transformer,GPT2_24_layer_para.vec,vec,2,0.4694179355496951,0.9010468914054128,0.0,0.9009725092544867,0.0
35,distance,transformer,GPT2_24_layer_para.vec,vec,3,0.4330968836026171,0.9191125185724108,0.0,0.9168457416712219,0.0
35,distance,transformer,GPT2_24_layer_para.vec,vec,4,0.45709366752470143,0.9071587854350118,0.0,0.9080447286599053,0.0
35,distance,transformer,GPT2_24_layer_para.vec,vec,5,0.46651692313083437,0.9025700501859041,0.0,0.9031417198241876,0.0
35,distance,transformer,GPT2_24_layer_para.vec,vec,all,0.4589819459696285,0.9055313968233281,0.0,0.9053979298287247,0.0
