k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
25,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.8433458079454964,0.8770551355579312,4.576769845943161e-11,0.8347560759583649,2.8709808913813937e-09
25,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.7900682483738941,0.8209355202362989,8.682856872469844e-09,0.8069307473238371,2.430730998330842e-08
25,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.7826824222565855,0.8772004856422679,1.7508922973817114e-09,0.8614182992601436,5.4590688171168715e-09
30,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.7467197358599069,0.8905767627475132,3.918542716248202e-12,0.8817384313931583,1.2259389458713971e-11
30,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.8301197824630204,0.8916286426579512,7.627753347898694e-12,0.907573949928621,7.819059169316418e-13
30,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.8223168251201762,0.9280071335692509,2.118453067828626e-14,0.8812417724239937,2.801979027797432e-11
30,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.8685107565314932,0.8898711073429788,9.592557838831478e-12,0.8888895212007735,1.088426306891288e-11
30,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.8174533014033221,0.8127124364478582,1.605683049651744e-08,0.8087642641321166,2.1344449601516027e-08
30,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.8170240802755838,0.8825592165531105,3.2155981069902194e-09,0.8736415878157325,4.279278990047712e-09
35,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.7995664339585494,0.8840352025019922,9.196322214063945e-12,0.8849143612882236,8.224831436182367e-12
35,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.8951115946986772,0.8607859044599251,2.6359085448211566e-10,0.8778655280477488,4.1679173855566665e-11
35,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.8540138532886954,0.9290422689695511,1.716798891914305e-14,0.8762858199442088,4.998921347004246e-11
35,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.8916872979053385,0.8959047810057763,4.294665771393374e-12,0.8852194571165424,1.727776813275103e-11
35,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.8555952832222308,0.7981589229551492,4.444281070120454e-08,0.7904290960493209,7.385815225086098e-08
35,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.8591948926146982,0.8735854159784788,8.943981942332207e-09,0.862942852489209,1.4795064647551105e-08
40,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.8384280074495556,0.882134142040259,1.1671912142528348e-11,0.8969494640484715,1.6180358679951346e-12
40,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.9142854555761417,0.8691421513671335,1.1040950730511307e-10,0.8828169316945609,2.318562253055518e-11
40,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.915042671177935,0.9170158728743885,1.6563883368975563e-13,0.8783049116952323,3.96063315271972e-11
40,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.9423734850579573,0.8718363091760203,8.23435986665981e-11,0.8650341046532715,1.7058127510943459e-10
40,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.8736635404304257,0.8041879857385998,2.9449690636318278e-08,0.8082142090896327,2.219644507104169e-08
40,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.8967586319384031,0.8688632922392803,5.930856258653241e-09,0.8662639242362339,4.486287267215375e-09
45,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.8901088751622149,0.8559337161063809,2.1680387327466586e-10,0.8768909594480585,2.2066692277836475e-11
45,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.9391661425183766,0.8718573695069026,8.215290232814205e-11,0.8943702068704555,5.292702792174074e-12
45,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.9578846999474853,0.9140866859755099,2.731938103173222e-13,0.8783049116952323,3.96063315271972e-11
45,distance,fasttext,ar_gpt2_sent.vec,vec,4,1.0081783122220032,0.8318179579433393,3.662716942507799e-09,0.8246633997267293,6.503319179943291e-09
45,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.9041821615757452,0.8059056898594464,2.6123919359856617e-08,0.8148148695994392,1.3760853017742628e-08
45,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.939904038285165,0.8559202838783158,6.017173254355508e-09,0.857808869467983,4.0662275848566254e-09
50,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.9277733383635519,0.8500895492615166,3.8481717715806443e-10,0.8646887024828072,8.742467913327582e-11
